time_records,open,high,low,close,prediction,ticket,order price,prediction_s,high_dif_l,low_dif_l,y_l,high_dif_s,low_dif_s,y_s,result_l,result_s
4/5/2023 14:00,2024.392,2028.401,2022.894,2025.399,0,none,none,0,2.761,-3.894,0,2.761,-3.894,0,none,none
4/5/2023 15:00,2025.369,2028.16,2023.305,2024.011,0,none,none,0,7.994,-2.506,1,7.994,-2.506,0,none,none
4/5/2023 16:00,2024.036,2025.178,2021.81,2024.54,0,none,none,0,7.544,-3.517,0,7.544,-3.517,0,none,none
4/5/2023 17:00,2024.541,2025.15,2021.787,2022.291,0,none,none,0,9.793,-12.46,0,9.793,-12.46,0,none,none
4/5/2023 18:00,2022.324,2024.502,2021.505,2022.93,0,none,none,0,9.154,-13.099,0,9.154,-13.099,0,none,none
4/5/2023 19:00,2022.965,2032.005,2022.135,2031.503,1,271074130,2031.853,0,0.581,-21.672,0,0.581,-21.672,1,FALSE,none
4/5/2023 20:00,2031.501,2032.084,2021.023,2022.658,0,none,none,0,8.677,-12.827,0,8.677,-12.827,0,none,none
4/5/2023 21:00,2022.692,2031.335,2009.831,2018.803,0,none,none,0,5.129,-2.864,1,5.129,-2.864,0,none,none
4/5/2023 22:00,2018.833,2022.967,2015.939,2021.73,0,none,none,0,2.202,-2.629,0,2.202,-2.629,0,none,none
4/5/2023 23:00,2021.711,2023.932,2019.656,2021.357,0,none,none,0,1.978,-2.256,0,1.978,-2.256,0,none,none
4/6/2023 0:00,2021.323,2022.022,2019.101,2021.017,0,none,none,0,2.318,-2.293,0,2.318,-2.293,0,none,none
4/6/2023 1:00,2021.048,2023.335,2020.662,2023.12,0,none,none,0,0.178,-4.396,0,0.178,-4.396,1,none,none
4/6/2023 2:00,2023.155,2023.298,2020.625,2021.042,0,none,none,0,0.637,-4.01,0,0.637,-4.01,0,none,none
4/6/2023 3:00,2021.08,2021.679,2020.143,2020.482,0,none,none,0,0.94,-7.931,0,0.94,-7.931,1,none,none
4/6/2023 5:00,2020.746,2021.422,2018.724,2020.404,0,none,none,0,0.674,-12.603,0,0.674,-12.603,1,none,none
4/6/2023 6:00,2020.401,2021.078,2020.14,2020.324,0,none,none,0,0.15,-12.523,0,0.15,-12.523,1,none,none
4/6/2023 7:00,2020.307,2020.474,2017.032,2017.065,0,none,none,0,0.034,-9.264,0,0.034,-9.264,1,none,none
4/6/2023 8:00,2017.066,2017.099,2012.551,2012.674,0,none,none,0,3.352,-4.873,0,3.352,-4.873,0,none,none
4/6/2023 9:00,2012.678,2013.267,2007.801,2010.973,0,none,none,0,5.932,-0.856,1,5.932,-0.856,0,none,none
4/6/2023 10:00,2010.98,2012.23,2010.117,2011.34,0,none,none,0,6.775,-0.835,1,6.775,-0.835,0,none,none
